501000	1.26
501001	1.08
501002	1.10
501003	1.02
501005	0.98
501007	0.93
501008	0.92
501009	1.20
501010	1.19
501011	1.05
501012	1.06
501015	0.94
501016	1.05
501017	0.93
501018	0.98
501019	0.83
501020	1.09
501021	1.41
501022	0.90
501023	1.17
501025	1.13
501026	0.90
501027	0.99
501028	0.93
501029	1.10
501030	0.94
501031	0.95
501032	0.96
502000	1.04
502001	1.02
502002	1.02
502003	0.91
502004	0.92
502005	0.89
502006	1.11
502007	1.02
502008	1.19
502010	1.14
502011	0.94
502012	1.34
502013	0.90
502014	1.01
502015	0.80
502016	1.14
502017	1.09
502018	1.06
502020	1.02
502021	Unknown
502022	1.12
502023	1.08
502024	0.88
502025	1.02
502026	0.81
502027	1.07
502028	Unknown
502031	1.00
502032	1.21
502036	1.02
502037	Unknown
502038	0.97
502040	1.21
502041	1.00
502042	1.35
502048	1.45
502049	Unknown
502050	Unknown
502053	Unknown
502054	1.10
502055	Unknown
502056	Unknown
502057	Unknown
502058	1.00
505888	1.06
510010	1.20
510020	2.90
510030	Unknown
510050	2.99
510060	Unknown
510070	Unknown
510090	Unknown
510110	Unknown
510120	3.04
510130	Unknown
510150	Unknown
510160	0.64
510170	Unknown
510180	Unknown
510190	3.79
510210	4.04
510220	4.25
510230	6.63
510260	1.28
510270	1.17
510280	1.75
510290	1.62
510300	Unknown
510310	1.75
510330	4.46
510360	1.29
510410	0.77
510420	1.54
510430	Unknown
510440	1.89
510450	1.42
510500	Unknown
510510	Unknown
510520	1.68
510560	Unknown
510580	6.38
510610	Unknown
510620	0.99
510630	2.36
510650	1.89
510660	1.92
510680	2.39
510700	2.42
510710	Unknown
511690	Unknown
511760	Unknown
511810	100.01
511820	Unknown
511960	Unknown
511970	Unknown
511980	Unknown
511990	Unknown
512100	0.82
512110	Unknown
512230	Unknown
512400	0.89
512510	Unknown
512660	Unknown
513050	1.52
580012	Unknown
580013	Unknown
580014	Unknown
580016	Unknown
580017	Unknown
580019	Unknown
580020	Unknown
580021	Unknown
580022	Unknown
580023	Unknown
580024	Unknown
580025	Unknown
580026	Unknown
580027	Unknown
600000	12.78
600006	5.83
600007	16.72
600008	5.21
600009	45.05
600011	6.55
600012	13.37
600015	9.13
600016	8.54
600017	3.93
600018	8.08
600019	Unknown
600020	5.04
600021	10.10
600022	Unknown
600023	5.42
600027	4.23
600028	6.00
600029	10.28
600030	18.30
600031	8.70
600033	3.65
600035	5.21
600036	29.38
600037	15.05
600038	44.98
600039	4.03
600050	7.97
600051	10.33
600052	4.10
600053	24.87
600054	14.16
600056	27.06
600057	9.45
600058	11.88
600059	Unknown
600060	16.13
600061	14.79
600062	23.58
600063	3.96
600064	Unknown
600066	25.06
600067	6.35
600068	9.24
600069	8.56
600070	10.55
600071	18.70
600072	14.27
600073	8.17
600074	10.39
600075	7.88
600076	8.93
600077	3.86
600078	5.49
600079	19.75
600080	9.72
600081	11.88
600082	5.44
600083	18.68
600084	7.52
600085	34.42
600086	10.49
600088	15.15
600089	10.59
600090	8.86
600091	6.30
600093	10.56
600094	7.17
600095	6.53
600096	7.51
600097	17.44
600098	6.89
600099	9.96
600101	9.37
600103	4.00
600104	33.22
600105	7.97
600106	4.73
600107	11.65
600108	4.20
600109	10.84
600111	13.14
600112	7.65
600113	10.58
600114	16.95
600115	7.01
600116	8.79
600117	5.23
600118	25.80
600119	14.44
600120	26.68
600121	5.95
600122	9.48
600123	8.24
600125	9.82
600126	6.83
600127	4.89
600128	Unknown
600129	15.55
600130	5.67
600131	Unknown
600132	18.92
600133	10.01
600135	13.27
600136	13.22
600137	44.60
600138	19.95
600139	6.56
600141	17.02
600143	5.56
600145	1.87
600146	25.42
600148	23.86
600149	10.84
600150	24.67
